Date Disclosed,Project Name,Document Type,Project Number,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
10/01/2009,CCIL CPLP,Summary of Proposed Investment,28571,Loan,CONTINENTAL CARBON INDIA LIMITED,India,IND,Financial Institutions,C,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,11/02/2009,,,20,,20,IN,01/18/2021 09:37:00 PM
08/14/2009,SnowmanII,Summary of Proposed Investment,26688,Equity,SNOWMAN LOGISTICS LIMITED,India,IND,Financial Institutions,B,Gbl Infrastructure &amp; Natural Resources,Completed,09/15/2009,,,,5.38,5.38,IN,01/18/2021 09:37:00 PM
05/28/2009,SEGEF Moser Baer,Summary of Proposed Investment,567207,,UNKNOWN,India,IND,Agribusiness and Forestry,B,Sustainable Business Advisory Dept,Completed,06/30/2009,,,,,,IN,01/18/2021 09:37:00 PM
05/12/2009,Apollo Loan,Summary of Proposed Investment,25969,Loan,APOLLO HOSPITALS ENTERPRISE LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,06/15/2009,,,50,0,50,IN,01/18/2021 09:37:00 PM
05/12/2009,Max Healthcare 3,Summary of Proposed Investment,27976,Equity,MAX FINANCIAL SERVICES LIMITED,India,IND,Infrastructure,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,06/11/2009,,,,42.39,42.39,IN,01/18/2021 09:37:00 PM
05/06/2009,JK Paper CPLP,Summary of Proposed Investment,28233,Loan,JK PAPER LIMITED,India,IND,Financial Institutions,C,"Gbl Ind, Manufact, Agribus & Services",Completed,06/08/2009,,,20,,20,IN,01/18/2021 09:37:00 PM
04/13/2009,Granules CPLP,Summary of Proposed Investment,28199,Loan,GRANULES INDIA LIMITED,India,IND,Financial Institutions,C,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,05/20/2009,,,20,,20,IN,01/18/2021 09:37:00 PM
04/09/2009,Exim Bank of India Trade Finance,Summary of Proposed Investment,27868,Loan,EXPORT-IMPORT BANK OF INDIA,India,IND,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,05/28/2009,,,30,,30,IN,01/18/2021 09:37:00 PM
04/03/2009,"Zephyr Peacock India Fund II, L.P.",Summary of Proposed Investment,27466,Equity,ZEPHYR PEACOCK INDIA FUND II LIMITED,India,IND,Financial Institutions,FI,"TMT, Venture Capital &amp; Funds",Active,05/29/2009,,,,15,15,IN,01/18/2021 09:37:00 PM
03/12/2009,VW-India Pvt. Ltd.,Summary of Proposed Investment,27926,Risk Management,VOLKSWAGEN INDIA PRIVATE LIMITED,India,IND,Financial Institutions,B,Regional Industry - MAS Asia & Pac,Completed,04/15/2009,22,,78.02,,100.02,IN,01/18/2021 09:37:00 PM
